event,channel,n_epochs,peak_amplitude_uv,peak_latency_ms,mean_amplitude_0_800ms_uv
S_5,O1,7,11.625549736938435,126.0,2.9854961906138535
S_5,Oz,7,10.148754656800199,257.0,2.015273722042899
S_5,O2,7,13.664906790169114,258.0,1.96780826702467
S_5,P4,7,7.581108242133287,349.0,0.5942320087039903
S_5,P8,7,7.624183335525515,267.0,0.8879461862213469
S_5,TP10,7,-8.133323305365172,12.0,-1.209907343539841
S_5,CP6,7,-5.658767527924066,612.0,-1.2230907456079818
S_5,CP2,7,3.698820435206142,531.0,-0.31069149630841464
S_5,Cz,7,-5.680598711552822,270.0,-1.2334347760787097
S_5,C4,7,-5.6944907088949135,371.0,-1.1700172005981075
S_5,T8,7,-6.097205329548938,134.0,-1.1196465518495655
S_5,FT10,7,-9.88268435904629,151.0,-1.0884392539764938
S_5,FC6,7,-6.489409188412598,154.0,-1.0813894378065165
S_5,FC2,7,-5.372708942441206,375.0,-1.0556138889087106
S_5,F4,7,-4.045296166618638,54.0,-0.1477125884357183
S_5,F8,7,7.858871227317706,552.0,0.16316557374813584
S_5,Fp2,7,11.341100263519301,0.0,3.3218632210130656
S_6,Fp1,7,10.242444171283884,589.0,0.4798161558389524
S_6,F3,7,-7.82309389515385,334.0,-1.176071534875252
S_6,F7,7,-8.052109973333206,516.0,-0.5525754549674842
S_6,FT9,7,-8.263892711924067,514.0,-0.5485177479476198
S_6,FC5,7,-5.911101819723048,285.0,-1.3857402908348806
S_6,FC1,7,-8.028136724465595,109.0,-1.748528558364445
S_6,C3,7,4.418361407881377,164.0,-0.6470688012129987
S_6,T7,7,-6.202421071005319,525.0,-0.35018586367449345
S_6,TP9,7,8.938096526474208,134.0,0.9299066163173577
S_6,CP5,7,4.565275882378883,192.0,0.3392380204447706
S_6,CP1,7,-8.346919711882057,129.0,-1.3376712696723505
S_6,Pz,7,-7.275272870074667,74.0,-0.464285981096144
S_6,P3,7,5.904954979369361,99.0,1.1752791591615295
S_6,P7,7,8.836550293997233,131.0,1.332464561551595
S_6,O1,7,14.259431733977854,136.0,3.5070898866265714
S_6,Oz,7,11.45741692091666,102.0,2.860577169756498
S_6,O2,7,13.273892554800344,263.0,2.2846922385146784
S_6,P4,7,5.5152628803628785,332.0,0.15782689234528255
S_6,P8,7,-6.959758566399044,166.0,0.27743692183923785
S_6,TP10,7,8.093117928208658,77.0,0.5438470779413824
S_6,CP6,7,-4.531467024362721,774.0,-0.7105269191503926
S_6,CP2,7,-7.257035059581209,126.0,-1.438580753559826
S_6,Cz,7,-8.711279325725021,129.0,-1.8526735646394794
S_6,C4,7,-5.894889506476242,92.0,-0.7580996199711565
S_6,T8,7,-9.122271457755723,167.0,-1.7471595728543494
S_6,FT10,7,-7.66158564143668,157.0,0.07887739980625984
S_6,FC6,7,-5.391973329333344,94.0,-0.5441239050986627
S_6,FC2,7,-6.992017115447983,130.0,-1.4191553536984634
S_6,F4,7,5.997305292849431,482.0,0.16800816715165293
S_6,F8,7,-6.833267696686124,150.0,0.3149918017036569
S_6,Fp2,7,-10.913227484789909,707.0,2.230913122618573
S_7,Fp1,7,9.692804116213367,159.0,3.3162710076321047
S_7,F3,7,-6.239783024123787,369.0,0.038452009840634946
S_7,F7,7,5.119795305919721,120.0,0.9865996548419143
S_7,FT9,7,5.695359715196967,519.0,0.47788983482216757
S_7,FC5,7,-3.8162358921000052,369.0,0.37374709717656474
S_7,FC1,7,-5.788312968056215,372.0,-0.9084916356572916
S_7,C3,7,-3.9263633843811543,260.0,-0.5162026825263374
S_7,T7,7,7.137242876434047,517.0,0.04401039902820382
S_7,TP9,7,8.26282692676502,90.0,1.4453134698414414
S_7,CP5,7,-5.303599555017071,799.0,0.1162433170277917
S_7,CP1,7,-5.336983419424798,122.0,-1.0348291124541267
S_7,Pz,7,-5.289574475922624,122.0,-1.1063264442195517
S_7,P3,7,5.652660305671555,244.0,0.35652868564863377
S_7,P7,7,6.402260176699469,460.0,0.9283916608717484
S_7,O1,7,11.024711732797712,98.0,1.8815222643527414
S_7,Oz,7,12.138287416021965,102.0,1.3675384363852212
S_7,O2,7,14.569133884792668,267.0,1.290264051362037
S_7,P4,7,-5.433712880411314,54.0,-0.9183343205259884
S_7,P8,7,6.673150966119797,252.0,0.6820670912157561
S_7,TP10,7,9.433895986374054,83.0,-0.49221082113265235
S_7,CP6,7,-4.792032778575532,522.0,-0.8572870201387652
S_7,CP2,7,-4.28686281776321,122.0,-0.9439608290969441
S_7,Cz,7,-7.744070534993383,297.0,-1.9796366231509845
S_7,C4,7,-7.06952811840413,311.0,-1.2515350623027788
S_7,T8,7,-9.737273518592763,155.0,-1.2153187838220993
S_7,FT10,7,-7.6814910480246565,166.0,-0.1648070228260884
S_7,FC6,7,-5.098280295357956,92.0,-0.7886472721492964
S_7,FC2,7,-6.816967114376256,93.0,-1.9156159186303385
S_7,F4,7,5.876086548482143,799.0,-0.8937338397946848
S_7,F8,7,-8.876150516787483,167.0,-0.9833407211998355
S_7,Fp2,7,10.029278909295646,800.0,2.6654391295808004
S_8,Fp1,7,13.530520409754159,566.0,-0.19952506649011723
S_8,F3,7,-5.794521280377138,794.0,-1.1271699522528338
S_8,F7,7,-6.3031641856951435,442.0,-0.9917509279254565
S_8,FT9,7,-7.513560278677719,589.0,-0.6217528790437461
S_8,FC5,7,-5.5396750550241665,112.0,-1.1472623781192994
S_8,FC1,7,-4.483642963810399,532.0,-0.5738689519445399
S_8,C3,7,-5.223186472753826,114.0,-0.993792176885219
S_8,T7,7,-8.651400661236057,656.0,-0.3817919188149903
S_8,TP9,7,8.006135917156058,795.0,-0.016421777037200117
S_8,CP5,7,5.6595642292450545,171.0,1.2883151973468654
S_8,CP1,7,-4.849221039912717,135.0,-0.4691128215720706
S_8,Pz,7,-5.19745691385901,375.0,-0.9087200764743469
S_8,P3,7,-6.501956160692895,568.0,-0.24312873832153042
S_8,P7,7,8.59075722731954,111.0,0.9070845615859129
S_8,O1,7,11.092388364061524,135.0,1.596225081596112
S_8,Oz,7,10.773791195342039,250.0,1.942823108045558
S_8,O2,7,15.296756521785163,249.0,1.9333588685222094
S_8,P4,7,-4.204881919540323,0.0,0.5556096547997469
S_8,P8,7,8.953750068817724,137.0,1.664291814101638
S_8,TP10,7,9.210118544906909,71.0,1.5058622793578909
S_8,CP6,7,5.337797090784482,74.0,0.9410479550032239
S_8,CP2,7,-5.927175148396575,104.0,-1.2998931932222106
S_8,Cz,7,-6.950167313215708,132.0,-2.1755841673490224
S_8,C4,7,-6.991499296489639,94.0,-1.1367610554801713
S_8,T8,7,8.963257752325251,15.0,0.46709771369033165
S_8,FT10,7,4.702979360057858,402.0,0.25104766452961724
S_8,FC6,7,-6.405765403585485,141.0,0.04682943358553483
